Genome,Fraction,length
NT12079_253,perc_unc,37.63843566484729
NT12038_49,perc_covered,62.35541264171989
NT12038_49,perc_unc,37.64458735828011
92,perc_covered,62.351302158950304
92,perc_unc,37.648697841049696
NT12360_768,perc_covered,62.339388612017075
NT12360_768,perc_unc,37.660611387982925
NT12353_360,perc_covered,62.32767994348959
NT12353_360,perc_unc,37.67232005651041
133,perc_covered,62.32641074610852
133,perc_unc,37.67358925389148
NT12308_348,perc_covered,62.32547479463505
NT12308_348,perc_unc,37.67452520536495
NT12584_709,perc_covered,62.321027323045676
NT12584_709,perc_unc,37.678972676954324
NT12418_389,perc_covered,62.30787074601694
NT12418_389,perc_unc,37.69212925398306
191,perc_covered,62.289366624193896
191,perc_unc,37.710633375806104
NT12392_378,perc_covered,62.27560560396618
NT12392_378,perc_unc,37.72439439603382
NT12121_103,perc_covered,62.274234370149564
NT12121_103,perc_unc,37.725765629850436
NT12076_250,perc_covered,62.240726544268064
NT12076_250,perc_unc,37.759273455731936
NT12278,perc_covered,62.22358939077205
NT12278,perc_unc,37.77641060922795
NT12246,perc_covered,62.212198885847016
NT12246,perc_unc,37.787801114152984
NT12370_371,perc_covered,62.20619506774453
NT12370_371,perc_unc,37.79380493225547
19,perc_covered,62.14975846382267
19,perc_unc,37.85024153617733
NT12163_299,perc_covered,62.133237604692994
NT12163_299,perc_unc,37.866762395307006
FOC_5.1,perc_covered,62.126166912180814
FOC_5.1,perc_unc,37.873833087819186
NT12264,perc_covered,62.124514763496364
NT12264,perc_unc,37.875485236503636
NT12314_351,perc_covered,62.11970915550714
NT12314_351,perc_unc,37.88029084449286
NT12211_330,perc_covered,62.118162031525294
NT12211_330,perc_unc,37.881837968474706
NT12265,perc_covered,62.11479492263099
NT12265,perc_unc,37.88520507736901
NT12266,perc_covered,62.10892399251357
NT12266,perc_unc,37.89107600748643
NT12263,perc_covered,62.10420171637266
NT12263,perc_unc,37.89579828362734
NT12210_329,perc_covered,62.084540396125966
NT12210_329,perc_unc,37.915459603874034
NT12212_331,perc_covered,62.07187761678804
NT12212_331,perc_unc,37.92812238321196
NT12146_287,perc_covered,62.069882454727235
NT12146_287,perc_unc,37.930117545272765
NT12248,perc_covered,62.056446939460855
NT12248,perc_unc,37.943553060539145
NT12424_394,perc_covered,62.05340614357261
NT12424_394,perc_unc,37.94659385642739
NT12247,perc_covered,62.0408305331001
NT12247,perc_unc,37.9591694668999
NT12459_193,perc_covered,62.03019693460603
NT12459_193,perc_unc,37.96980306539397
NT12595_720,perc_covered,62.017956931728826
NT12595_720,perc_unc,37.982043068271174
NT12156_295,perc_covered,61.98093089602983
NT12156_295,perc_unc,38.01906910397017
NT12371,perc_covered,61.98039075658235
NT12371,perc_unc,38.01960924341765
126,perc_covered,61.973970919151924
126,perc_unc,38.026029080848076
36,perc_covered,61.951268012511775
36,perc_unc,38.048731987488225
NT12306_347,perc_covered,61.95084414241202
NT12306_347,perc_unc,38.04915585758798
NT12279,perc_covered,61.95020369338037
NT12279,perc_unc,38.04979630661963
NT12088_261,perc_covered,61.94371312622508
NT12088_261,perc_unc,38.05628687377492
187,perc_covered,61.93675581466776
187,perc_unc,38.06324418533224
NT12385,perc_covered,61.933994265860825
NT12385,perc_unc,38.066005734139175
83,perc_covered,61.91855330188278
83,perc_unc,38.08144669811722
NT12423_393,perc_covered,61.91549605357542
NT12423_393,perc_unc,38.08450394642458
NT12282,perc_covered,61.90806701137146
NT12282,perc_unc,38.09193298862854
205,perc_covered,61.900465714131414
205,perc_unc,38.099534285868586
NT12234,perc_covered,61.89301049112383
NT12234,perc_unc,38.10698950887617
61,perc_covered,61.88349959670203
61,perc_unc,38.11650040329797
1,perc_covered,61.88208776443901
1,perc_unc,38.11791223556099
NT12305_346,perc_covered,61.86807741320478
NT12305_346,perc_unc,38.13192258679522
65,perc_covered,61.86394839743009
65,perc_unc,38.13605160256991
NT12289,perc_covered,61.85478216363764
NT12289,perc_unc,38.14521783636236
159,perc_covered,61.825245868667864
159,perc_unc,38.174754131332136
NT12158_296,perc_covered,61.82460836570822
NT12158_296,perc_unc,38.17539163429178
NT12159_750,perc_covered,61.81792254990063
NT12159_750,perc_unc,38.18207745009937
NT12281,perc_covered,61.79511926918767
NT12281,perc_unc,38.20488073081233
NT12531_172,perc_covered,61.78656093362862
