n_neighbors,min_dist,n_components,random_state,metric,n_jobs,embedding
10,0.2,3,42,cosine,8,"[[11.840704   2.5942693 10.190359 ]
 [ 8.117469   9.058193   5.379362 ]
 [ 4.4014206  9.640883   6.320166 ]
 ...
 [13.484716  -2.7471995  5.449726 ]
 [12.467837   1.7159349 -4.5848756]
 [14.958381   3.8313863 17.133148 ]]"
15,0.2,3,42,cosine,8,"[[10.584653   3.8936996  5.914859 ]
 [ 2.3175075  4.562758   6.9929185]
 [ 2.9633484  3.0189319  3.52239  ]
 ...
 [12.879936  -4.9932084  6.493857 ]
 [16.88107    3.033374   1.5023919]
 [10.654011   3.392906  20.492676 ]]"
20,0.2,3,42,cosine,8,"[[-1.1872876  1.0110141  1.9115001]
 [-5.4031034  1.298435   8.801565 ]
 [-7.325361   4.3344526  9.510547 ]
 ...
 [-2.982307  -3.5350485 21.438677 ]
 [10.318396  -1.7858454  0.8400409]
 [-1.1897587 16.879036   3.9227738]]"
25,0.2,3,42,cosine,8,"[[-0.2940549  2.0453548  6.711018 ]
 [ 5.445867   2.628129  14.142852 ]
 [ 4.815076  -0.8588428 15.8624525]
 ...
 [ 1.6346611 14.720118  -1.4014437]
 [-1.3256     1.7490816 -4.907852 ]
 [18.535673   2.138212   2.929255 ]]"
30,0.2,3,42,cosine,8,"[[10.7303915  11.590682    8.566195  ]
 [18.799122   16.593912    9.671806  ]
 [19.712194   15.64039     6.208283  ]
 ...
 [ 5.2735066  -0.35935816 26.352354  ]
 [ 2.95478    18.791971   11.946403  ]
 [ 9.615017   -7.5740266   8.754983  ]]"
5,0.3,3,42,cosine,8,"[[ 1.5852233  -0.57795846 -4.3533397 ]
 [ 5.5954123   3.3747199  -0.14478658]
 [ 0.9353808   8.633434   -0.7841032 ]
 ...
 [ 9.848575   -1.31904     5.902575  ]
 [11.515352    4.037964   -0.38926494]
 [ 5.013351   -5.406592   -3.6518085 ]]"
10,0.3,3,42,cosine,8,"[[13.432455   1.882505   9.051943 ]
 [ 8.845042   8.663503   6.232479 ]
 [ 6.5674353  7.474268   9.639055 ]
 ...
 [16.840471  -1.0831153  6.8330255]
 [15.677      1.1484278 -3.1463373]
 [13.30874    4.276702  16.921883 ]]"
15,0.3,3,42,cosine,8,"[[ 9.344469    3.028041    4.90546   ]
 [ 3.7386672   3.7973936  10.257376  ]
 [ 0.02692076  2.7727628   8.920775  ]
 ...
 [11.925931   -4.865077    9.565891  ]
 [17.721188    3.731977    5.9778824 ]
 [10.966738   -0.8909353  20.198786  ]]"
20,0.3,3,42,cosine,8,"[[ -2.1506536    1.1657097    2.406711  ]
 [ -6.325518    -1.8443731    9.520764  ]
 [ -7.5441732    2.0791872   10.67665   ]
 ...
 [  6.955367   -10.183853     5.6832023 ]
 [  6.1756835   -5.193017    -2.0111942 ]
 [ -0.15479313  15.03978      5.371976  ]]"
25,0.3,3,42,cosine,8,"[[-0.75519115  2.6536937   7.9358654 ]
 [-1.115973   -7.10859    10.758169  ]
 [ 2.902039   -9.141735   12.124364  ]
 ...
 [ 3.2322297  15.149971    0.13338904]
 [-6.682523    1.5398116  -3.8288329 ]
 [16.205704    3.1143432   2.4546893 ]]"
